"Species","Long","Lat"
"M_agu",-101.92,19.43
"M_agu",-99.7,18.8
"M_agu",-101.837097,19.3916
"M_agu",-102.438194,19.710916
"M_agu",-101.962128,19.467911
"M_agu",-101.881439,19.426001
"M_agu",-102.123169,19.3722
"M_agu",-102.311101,19.54277
"M_agu",-102.388298,19.284401
"M_agu",-102.227501,19.3076
"M_agu",-101.81897,19.376751
"M_agu",-101.924881,19.48097
"M_agu",-102.44413,19.723804
"M_agu",-102.347221,19.537443
"M_agu",-102.409216,19.668541
"M_agu",-102.306099,19.2008
"M_agu",-101.940491,19.465019
"M_agu",-102.796303,19.78293
"M_agu",-102.457802,19.33173
"M_agu",-102.397842,19.262091
"M_agu",-101.847778,19.493361
"M_agu",-102.423882,19.699989
"M_agu",-102.2211,19.3081
"M_agu",-102.283913,19.254959
"M_agu",-102.367583,19.320314
"M_agu",-101.929901,19.458269
"M_agu",-101.911575,19.413536
"M_agu",-102.283913,19.28496
"M_agu",-102.419167,19.647388
"M_agu",-101.910217,19.45722
"M_agu",-102.399048,19.282329
"M_agu",-102.383827,19.645941
"M_agu",-101.851402,19.393
"M_agu",-101.840111,19.3958
"M_agu",-101.918861,19.450609
"M_agu",-102.344093,19.229799
"M_agu",-102.373047,19.28277
"M_agu",-102.061974,19.482882
"M_agu",-101.90583,19.412109
"M_agu",-102.083687,19.336001
"M_agu",-102.063751,19.38327
"M_agu",-101.760361,19.31752
"M_agu",-101.923752,19.475691
"M_agu",-102.397972,19.643419
"M_agu",-102.407934,19.66773
"M_agu",-102.453857,19.464167
"M_agu",-101.934433,19.463169
"M_agu",-101.925857,19.48077
"M_agu",-101.872398,19.4086
"M_agu",-102.328697,19.5319
"M_agu",-102.016197,19.3815
"M_agu",-102.351303,19.313299
"M_agu",-101.840187,19.394501
"M_agu",-102.422768,19.70277
"M_agu",-102.462624,19.322809
"M_agu",-101.288147,19.395479
"M_agu",-102.366409,19.22488
"M_agu",-101.833778,19.395001
"M_agu",-102.128899,19.357099
"M_agu",-102.288612,19.240444
"M_agu",-101.883407,19.42255
"M_agu",-102.406937,19.654751
"M_agu",-101.842407,19.4988
"M_agu",-101.925148,19.48016
"M_agu",-101.82019,19.370251
"M_agu",-102.378886,19.2582
"M_agu",-101.871002,19.42547
"M_agu",-102.43444,19.655361
"M_agu",-101.923431,19.478911
"M_agu",-101.853825,19.378017
"M_agu",-101.847298,19.4317
"M_agu",-101.881897,19.494301
"M_agu",-102.408974,19.654249
"M_agu",-102.467308,19.32082
"M_agu",-101.958832,19.46727
"M_agu",-101.974609,19.484409
"M_agu",-102.408323,19.667169
"M_agu",-102.448303,19.700399
"M_agu",-102.004747,19.458128
"M_agu",-102.387611,19.24449
"M_agu",-101.508385,19.275915
"M_agu",-102.302092,19.217031
"M_agu",-102.405769,19.641109
"M_agu",-101.882004,19.4909
"M_agu",-102.484596,19.764299
"M_agu",-102.46466,19.52899
"M_agu",-102.096191,19.33827
"M_agu",-101.879936,19.429439
"M_agu",-102.412689,19.667141
"M_agu",-102.360748,19.25383
"M_agu",-101.855119,19.3812
"M_agu",-101.904105,19.3379
"M_agu",-102.315269,19.194441
"M_agu",-102.48217,19.717806
"M_agu",-102.313301,19.261579
"M_agu",-101.850998,19.418888
"M_agu",-102.29258,19.218861
"M_agu",-101.859085,19.495222
"M_agu",-101.948357,19.469441
"M_agu",-101.917,19.433
