"Spp","Long","Lat"
"Atta mexicana",-94.888363,18.312667
"Leptoglossus zonatus",-104.1341,29.3874
"Coccus hesperidum",-74.1053,4.65701
"Coccus hesperidum",-75.58195,6.21987
"Atta mexicana",-96.785278,19.476222
"Atta mexicana",-96.988055,19.381389
"Atta mexicana",-96.965055,19.433056
"Atta mexicana",-96.9125,19.041111
"Atta mexicana",-96.881944,19.430278
"Atta mexicana",-96.753222,19.459972
"Atta mexicana",-96.758389,19.333167
"Atta mexicana",-96.9475,19.440556
"Atta mexicana",-96.881583,19.204
"Atta mexicana",-96.655833,18.551389
"Leptoglossus zonatus",-101.12784,20.211487
"Conotrachelus perseae",-101.922498,19.434263
"Conotrachelus perseae",-102.061398,19.426113
"Atta mexicana",-89.356667,15.118056
"Atta mexicana",-90.616667,14.483333
"Monalonion velezangeli",-74.11535,4.721723
"Frankliniella bruneri",-77.816,-0.983
"Frankliniella bruneri",-75.451,-0.997
"Aphis gossypii",-68.8167,-32.8833
"Aphis gossypii",-47.6667,-22.75
"Aphis gossypii",-77.0333,3.9
"Aphis gossypii",-49.15,-25.35
"Aphis gossypii",-99.22849,18.93373
"Aphis gossypii",-115.96667,30.73333
"Aphis gossypii",-71.2167,-14.2667
"Aphis gossypii",-68.7833,-32.9
"Aphis gossypii",-71.2667,-30.55
"Aphis gossypii",-82.4333,8.3667
"Aphis gossypii",-77.05,-12.05
"Aphis gossypii",-46.7667,-22.4
"Aphis gossypii",-65.3,-24.1833
"Aphis gossypii",-80.0667,8.5833
"Aphis gossypii",-99.06709,21.00422
"Aphis gossypii",-46.65,-23.55
"Aphis gossypii",-99.19073,21.00594
"Aphis gossypii",-69.9867,-17.5519
"Aphis gossypii",-65.25,-26.7833
"Aphis gossypii",-92.63776,16.73048
"Aphis gossypii",-77.7833,-10.7
"Aphis gossypii",-79.65,9.0667
"Aphis gossypii",-72.0833,-13.65
"Aphis gossypii",-70.3833,-23.6667
"Aphis gossypii",-61.5769,-21.4022
"Aphis gossypii",-92.28302,16.38673
"Aphis gossypii",-98.7944,21.08758
"Aphis gossypii",-65.3291,-24.3683
"Aphis gossypii",-82.4333,8.4333
"Aphis gossypii",-109.71195,23.10431
"Aphis gossypii",-90.3333,15.4667
"Aphis gossypii",-77.15,-12.0667
"Aphis gossypii",-60.0333,-22.35
"Aphis gossypii",-113.4,28.03333
"Aphis gossypii",-114.5903,27.5467
"Aphis gossypii",-99.14135,20.25722
"Aphis gossypii",-113.6419,27.9156
"Leptoglossus zonatus",-56.734975,-16.620014
"Leptoglossus zonatus",-96.890013,19.535792
"Bemisia tabaci",-74.151037,10.770762
"Leptoglossus zonatus",-84.0163937,10.434436
"Atta mexicana",-93.116667,16.753333
"Atta mexicana",-87.101139,21.185333
"Copturomimus perseae",-73.338859,10.381913
"Atta mexicana",-96.43027,19.387251
"Atta mexicana",-108.95,27.033333
"Atta mexicana",-107.546406,24.866326
"Atta mexicana",-109.443749,27.072757
"Atta mexicana",-100.318465,25.675065
"Atta mexicana",-103.254756,20.303246
"Atta mexicana",-110.916667,29.066667
"Atta mexicana",-110.9475,31.3353
"Atta mexicana",-109.835,28.62
"Copturomimus perseae",-76.303611,3.539444
"Leptoglossus zonatus",-78.416667,-5.25
"Coccus hesperidum",-74.148879,10.774039
"Coccus hesperidum",-74.148164,10.773893
"Coccus hesperidum",-74.149347,10.773748
"Coccus hesperidum",-74.148565,10.773766
"Coccus hesperidum",-74.148044,10.77376
"Coccus hesperidum",-74.148874,10.773646
"Coccus hesperidum",-74.149718,10.77346
"Coccus hesperidum",-74.150515,10.779884
"Coccus hesperidum",-74.220309,11.018046
"Coccus hesperidum",-74.221042,11.017647
"Coccus hesperidum",-74.147953,10.765219
"Coccus hesperidum",-74.148084,10.773676
"Coccus hesperidum",-74.200282,10.976239
"Coccus hesperidum",-74.199955,10.976148
"Coccus hesperidum",-74.223834,11.014928
"Coccus hesperidum",-74.223234,11.015095
"Coccus hesperidum",-74.223643,11.015297
"Coccus hesperidum",-74.201393,10.976396
"Coccus hesperidum",-74.223262,11.015849
"Heliothrips haemorrhoidalis",-74.223434,11.01576
"Heliothrips haemorrhoidalis",-74.223783,11.015599
"Atta mexicana",-112.371839,30.200786
"Atta mexicana",-98.788957,21.256664
"Anastrepha ludens",-100.760562,20.721537
"Atta mexicana",-103.333333,20.666667
"Atta mexicana",-89.143,14.838
"Atta mexicana",-106.440439,23.299379
"Atta mexicana",-100.894109,19.808206
"Atta mexicana",-96.804013,19.122594
"Atta mexicana",-99.078925,18.957345
"Atta mexicana",-106.703333,24.0775
"Bemisia tabaci",-100.443629,20.524277
"Atta mexicana",-99.232165,18.928535
"Leptoglossus zonatus",-56.069669,-9.839538
"Atta mexicana",-99.221566,18.92421
"Atta mexicana",-103.45891,21.208708
"Atta mexicana",-100.722104,20.918258
"Atta mexicana",-105.216745,20.662312
"Atta mexicana",-109.013053,27.026539
"Atta mexicana",-106.431577,23.231968
"Leptoglossus zonatus",-85.67755,10.572293
"Atta mexicana",-106.44343,23.299
"Atta mexicana",-99.230064,18.935335
"Atta mexicana",-101.891414,20.635941
"Atta mexicana",-104.148866,24.948567
"Atta mexicana",-97.417557,20.960364
"Leptoglossus zonatus",-105.492018,28.261079
"Atta mexicana",-101.130596,20.210943
"Atta mexicana",-100.727589,20.917811
"Atta mexicana",-107.358658,24.814096
"Atta mexicana",-98.821942,19.666412
"Atta mexicana",-100.447046,20.544157
"Atta mexicana",-108.941309,27.025487
"Leptoglossus zonatus",-101.216197,19.675392
"Atta mexicana",-103.412905,20.72012
"Leptoglossus zonatus",-49.972093,-22.238173
"Leptoglossus zonatus",-78.947838,-2.876443
"Atta mexicana",-96.783972,16.869972
"Atta mexicana",-96.764465,17.046698
"Atta mexicana",-105.238098,20.645998
"Atta mexicana",-104.320776,19.123818
"Atta mexicana",-96.16871,15.757421
"Atta mexicana",-101.180177,19.69791
"Leptoglossus zonatus",-99.183554,18.838854
"Atta mexicana",-100.723794,20.039069
"Leptoglossus zonatus",-101.043387,22.149572
"Atta mexicana",-98.965834,18.925347
"Atta mexicana",-103.461683,19.72506
"Leptoglossus zonatus",-78.408366,-0.288469
"Atta mexicana",-97.44082,16.010805
"Atta mexicana",-99.082391,18.986712
"Atta mexicana",-105.371103,20.764578
"Atta mexicana",-100.207283,25.639164
"Leptoglossus zonatus",-89.535458,14.416069
"Atta mexicana",-100.107925,20.397559
"Leptoglossus zonatus",-86.48901,13.564539
"Atta mexicana",-98.962827,18.904704
"Atta mexicana",-101.188214,19.686516
"Atta mexicana",-100.85257,20.000488
"Atta mexicana",-100.435387,20.55355
"Atta mexicana",-105.290748,20.53303
"Atta mexicana",-96.9815,19.508986
"Atta mexicana",-96.448948,15.932709
"Bemisia tabaci",-78.106171,0.350449
"Atta mexicana",-110.092787,30.594701
"Atta mexicana",-90.614277,14.49735
"Atta mexicana",-98.195133,19.045578
"Leptoglossus zonatus",-84.147347,10.014425
"Leptoglossus zonatus",-111.453247,25.893081
"Atta mexicana",-97.683477,16.887637
"Atta mexicana",-96.720158,17.066483
"Atta mexicana",-103.33559,20.701141
"Atta mexicana",-103.364626,20.708784
"Atta mexicana",-100.286341,25.678327
"Atta mexicana",-96.552963,15.66851
"Anastrepha ludens",-99.162348,18.901958
"Leptoglossus zonatus",-75.580385,6.223547
"Atta mexicana",-96.882103,19.525167
"Leptoglossus zonatus",-87.00372,13.99594
"Atta mexicana",-100.068248,20.439128
"Atta mexicana",-106.088005,23.161322
"Atta mexicana",-97.108374,18.849918
"Leptoglossus zonatus",-100.830315,20.513677
"Leptoglossus zonatus",-78.435067,-0.34142
"Atta mexicana",-98.979433,18.991497
"Atta mexicana",-99.159855,23.720205
"Atta mexicana",-100.745723,20.917283
"Atta mexicana",-97.860983,17.719796
"Atta mexicana",-105.237541,20.65846
"Atta mexicana",-101.222966,19.652133
"Atta mexicana",-103.441062,20.671479
"Atta mexicana",-101.39533,20.686066
"Atta mexicana",-97.411369,18.462936
"Atta mexicana",-100.251062,25.668675
"Atta mexicana",-103.36493,20.707925
"Leptoglossus zonatus",-86.988293,13.999154
"Atta mexicana",-101.805811,18.964949
"Atta mexicana",-98.369092,20.090476
"Atta mexicana",-100.164665,25.637196
"Atta mexicana",-106.440682,23.299031
"Atta mexicana",-101.134653,19.693465
"Atta mexicana",-102.530365,20.541968
"Leptoglossus zonatus",-99.074906,19.343717
"Atta mexicana",-102.555488,22.097689
"Atta mexicana",-100.64356,22.303516
"Leptoglossus zonatus",-97.652691,18.401832
"Atta mexicana",-101.329057,20.719898
"Atta mexicana",-101.203685,19.69036
"Atta mexicana",-101.161107,19.705553
"Leptoglossus zonatus",-100.163161,25.746412
"Leptoglossus zonatus",-84.157062,10.033826
"Atta mexicana",-99.557702,21.169364
"Atta mexicana",-100.041618,25.232736
"Atta mexicana",-100.648107,20.040106
"Leptoglossus zonatus",-99.49358,18.948392
"Leptoglossus zonatus",-88.242914,13.506134
"Leptoglossus zonatus",-73.263153,4.85995
"Atta mexicana",-105.450603,20.751691
"Atta mexicana",-96.098766,15.767575
"Atta mexicana",-100.44737,20.70307
"Atta mexicana",-105.243522,20.589828
"Atta mexicana",-100.66174,22.485689
"Leptoglossus zonatus",-83.92429,9.84234
"Atta mexicana",-104.858769,21.467544
"Atta mexicana",-96.727597,17.068978
"Heilipus lauri",-75.426262,6.255113
"Atta mexicana",-110.490221,29.249359
"Leptoglossus zonatus",-46.710615,-21.938873
"Atta mexicana",-103.316787,20.715818
"Aphis gossypii",-35.531944,-7.123611
"Atta mexicana",-99.77085,26.237483
"Leptoglossus zonatus",-105.496426,28.261724
"Atta mexicana",-99.609556,18.560673
"Atta mexicana",-104.673522,19.2147
"Atta mexicana",-110.902099,31.295729
"Leptoglossus zonatus",-103.093817,20.548075
"Atta mexicana",-112.81565,31.881542
"Atta mexicana",-99.812018,20.711322
"Leptoglossus zonatus",-47.436138,-22.569977
"Atta mexicana",-102.371192,21.748397
"Atta mexicana",-96.772748,16.188792
"Atta mexicana",-105.290803,20.466005
"Atta mexicana",-112.880963,31.915425
"Atta mexicana",-99.892649,20.522766
"Atta mexicana",-103.444296,20.63817
"Leptoglossus zonatus",-100.575459,22.24424
"Atta mexicana",-102.331686,21.985088
"Atta mexicana",-106.324706,23.890733
"Atta mexicana",-96.168318,15.75722
"Leptoglossus zonatus",-102.377725,20.87946
"Atta mexicana",-98.955588,18.851312
"Leptoglossus zonatus",-87.003876,13.99624
"Atta mexicana",-100.435753,20.68293
"Atta mexicana",-103.80108,20.499205
"Leptoglossus zonatus",-105.503132,28.258309
"Atta mexicana",-98.999298,21.9939
"Leptoglossus zonatus",-41.454087,-20.757891
"Atta mexicana",-102.320495,21.915378
"Atta mexicana",-96.943228,19.520636
"Leptoglossus zonatus",-89.663377,21.042936
"Atta mexicana",-99.206988,18.845768
"Atta mexicana",-99.31309,20.51589
"Atta mexicana",-105.153947,21.505397
"Atta mexicana",-97.452054,18.323602
"Atta mexicana",-97.544666,20.157509
"Atta mexicana",-100.72742,20.917741
"Leptoglossus zonatus",-100.115334,21.464911
"Atta mexicana",-109.741001,28.595854
"Leptoglossus zonatus",-106.32203,23.877182
"Atta mexicana",-97.09676,18.854446
"Atta mexicana",-100.280908,25.642485
"Atta mexicana",-100.500976,22.140522
"Atta mexicana",-101.383091,20.663639
"Atta mexicana",-103.468518,19.705015
"Atta mexicana",-101.180344,19.698607
"Atta mexicana",-96.722366,17.058114
"Leptoglossus zonatus",-98.55077,20.254343
"Atta mexicana",-110.946453,31.335083
"Atta mexicana",-99.082972,18.985461
"Leptoglossus zonatus",-99.056913,19.568567
"Atta mexicana",-102.314539,21.909974
"Atta mexicana",-106.449421,23.282888
"Atta mexicana",-97.654145,18.263296
"Atta mexicana",-102.291568,21.885256
"Atta mexicana",-102.291513,21.884434
"Leptoglossus zonatus",-99.011994,19.618946
"Atta mexicana",-96.16351,19.103904
"Atta mexicana",-96.199771,15.772745
"Leptoglossus zonatus",-98.989664,19.399493
"Heilipus lauri",-86.738396,15.097327
"Leptoglossus zonatus",-101.514026,21.031865
"Atta mexicana",-100.265262,25.777693
"Atta mexicana",-107.406955,24.779073
"Leptoglossus zonatus",-96.655946,18.428748
"Leptoglossus zonatus",-103.340316,25.528861
"Atta mexicana",-97.025589,15.842103
"Atta mexicana",-99.201977,18.782276
"Atta mexicana",-99.216287,18.918305
"Atta mexicana",-100.723579,20.03965
"Atta mexicana",-99.147147,22.983597
"Atta mexicana",-106.442209,23.237141
"Atta mexicana",-103.314843,20.722479
"Leptoglossus zonatus",-72.936753,4.601458
"Atta mexicana",-100.094124,20.411843
"Atta mexicana",-103.724918,19.267832
"Atta mexicana",-102.915403,21.852628
"Atta mexicana",-100.159612,21.104971
"Atta mexicana",-100.26326,25.638022
"Leptoglossus zonatus",-99.238757,18.922059
"Leptoglossus zonatus",-101.329822,21.26216
"Leptoglossus zonatus",-79.4727,9.059321
"Leptoglossus zonatus",-96.669158,16.786676
"Atta mexicana",-98.930747,18.925849
"Atta mexicana",-102.269538,21.894645
"Leptoglossus zonatus",-38.935338,-4.262733
"Atta mexicana",-101.395112,20.686742
"Leptoglossus zonatus",-103.26494,20.683043
"Atta mexicana",-102.314415,21.914762
"Atta mexicana",-103.321225,20.624299
"Atta mexicana",-102.557878,22.76598
"Trioza anceps",-99.168495,19.355763
"Atta mexicana",-103.52442,20.719719
"Atta mexicana",-101.001923,22.130803
"Atta mexicana",-96.886214,19.527096
"Atta mexicana",-103.307096,19.471516
"Atta mexicana",-87.006795,14.013399
"Atta mexicana",-103.495103,20.531308
"Atta mexicana",-99.232903,18.938915
"Atta mexicana",-99.082439,18.986572
"Atta mexicana",-105.331572,20.510142
"Atta mexicana",-104.847503,21.469188
"Atta mexicana",-104.330208,19.116192
"Atta mexicana",-99.188606,21.02402
"Atta mexicana",-105.229444,20.787778
"Leptoglossus zonatus",-89.635475,21.023961
"Atta mexicana",-103.717313,19.251895
"Leptoglossus zonatus",-75.836506,5.303069
"Atta mexicana",-98.299583,19.055397
"Atta mexicana",-105.45627,20.491838
"Leptoglossus zonatus",-89.907853,14.887451
"Leptoglossus zonatus",-71.995887,-36.637112
"Atta mexicana",-100.25255,19.280571
"Atta mexicana",-99.112853,18.73212
"Leptoglossus zonatus",-78.446111,-0.119167
"Atta mexicana",-110.949783,29.151306
